Yorum,Duygu
"Uzun yıllar s seri samsung kullandım, beni gerçekten kullanım bakımından  tatmin ediyor hele oyun oynarken gerçekten zevk veriyor, malzeme KALİTESİ müşteri desteği muhteşem beni hiç üzmedi, yukarıda bazı arkadaşlar Çin mallları ile karşılaştırma yapmışlar sadece gülüyorum, Çin telefonlar malzeme KALİTESİ ve garanti servisleri berbat ötesi, hele bulut destegi olmayan berbat ötesi servisleri, neye destekleri var bir araştırın, öncelikle fiyat degil güvenilirlik önemli unutmayın. Hayırlı alışverişler.",1
Bu paraya gayet uygun,1
"sitesinde yazdığı gibi dolu şarjla 28 saat video,10 dakikalık şarjla 3 saat video izleme diyor doğruysa bu telefon bitmiyor,daha ne isterim ki... fotoğraf ve video da ortalamaysa bedavadan az pahalı......%90 ekran gövde oranı,bundan dolayı normal 5,5 inçlik telefon boyutunda...64 lük hafıza kartı da taktın mı yeter...ful hd ekran daha ne olsun...",1
Satın almadan yorum yazanlara inanmayın. Arkadaşlar teknoloji biliyorlar ama bir telefon nasıl ucuza mal edilir bilmedikleri için şuan ki fiyata göre yorum yapıyorlar. Ve mal edildiği fiyatta rakibi yok,1
Telefon özellikleri çok iyi özellikle işlemci yeni bir işlemci ve batarya kapasitesi devasa ve hızlı şarj özelliği var fakat plastik kapak dayanıksız gibi geliyor tek eksisi bence bu,1
"Harika telefon, tasarım itibariyle de iphone x ve huawei ye ben burdayım hem de bu fiyata diyor! Ufak detaylara takılmayın, çentik tasarımı ile yurtdışında yok sattı, tüm incelemelerde hız ve görsellik olarak da hiç bir sıkıntısı yok. Kamerasının da amiral gemisi bazı telefonlardan üstün olup 13 mp oluşu cabası, düşünmeden alınır... İndirim için de teşekkürler hb ve samsung !",1
Bu paraya mükemmel bir telefon.bazı arkadaşlar ürün hakkında yanlış bilgilendirme yapmışlar.ürünün özelliklerine samsung resmi sitesinden yada yotube incelemelere baksınlar.Ekran olayına gelince ıphone bile xr de lcd ekran kullandı.avantajları var daha fazla pil ömrü demek bu açıdan değerlendirmek gerekir ve çıkmamış bir ürün hakkında bu kadar karalama yapmanın doğru olmadığı düşüncesindeyim.,1
fiyata göre gayet iyi,1
"SAMSUNG KALİTESİYLE HİNDİSTAN DA TÜM STOKLARI DAKİKALAR İÇİNDE BİTİRMİŞ TELEFON...ŞU ANDA HEPSİ BURADA COM DADA DAHA TELEFON GELMEDEN BİLE  EN FAZLA SATAN TELEFON ,  BENCE FİYAT ÖZELLİKLERE GÖRE İYİ...PİL MUHTEŞEM ...BEN ALDIM",1
Mükemmel telefon xioami 5s ve mi note 3 kullandım bu çin telefonlarının 2 sene ömrü var sonra çöp malzeme dıştan kaliteli gibi gözüksede içten bitik ,1
"ya şimdi samsung, xiaomi ve huawei e göre pahalı demişler ama değil ara yüz ve batarya farkı var ve samsung her zaman farkı ortaya koyar telefon türkiyeye geldiği zaman inceleme videolarını izlersiniz 
eğer gerçekten telefondan anlasaydınız bu telefonun fiyat performans açısından alınabilecek en iyi SEÇENEKLERDEN olduğunu anlardınız",1
Bu fiyata bu telefon mükemmel... Sadece Pls Tft teknolojisi biraz can sıkıcı o kadar. 3x şarj ve  5000 mAh bataryası benim için çok seçici özellikler. İnşallah kılıf ve cam koruyucu bulabilirim.,1
eğer sosyal medya bağımlısı iseniz bu telefonu almanızı tavsiye ederim.,1
Telefonu esim icin aldim. Martin ilk haftasinda kargolanacak. Telefon fiyatina gore en alinabilecek urun. Huawei ve xiaomi de paralel olan urunlerden 500 TL daha uygun. Axess de 100 TL cip puan veriyor Hepsiburada ve Satici firmaya bu urun icin yaptiklari kampanyadan dolayi tesekkur ediyorum. Telefon elime ulasincada goruntusu ve kullanim deneyimi hakkindada bilgi verecegim.,1

